Date, Open, High, Low, Close
02/14/24,38372.67,38442.56,38194.62,38424.27
02/13/24,38699.17,38699.17,38039.86,38272.75
02/12/2024,38656.76,38927.08,38628.92,38797.38
02/09/2024,38731.97,38734.28,38567.9,38671.69
02/08/2024,38702.11,38755.68,38544.36,38726.33
02/07/2024,38613.89,38748.11,38571.01,38677.36
02/06/2024,38392.9,38545.28,38350.46,38521.36
02/05/2024,38546.77,38633.88,38220.4,38380.12
02/02/2024,38448.1,38783.62,38336.57,38654.42
02/01/2024,38175.34,38522.5,38106.84,38519.84
01/31/24,38426.78,38588.86,38139.66,38150.3
01/30/24,38298.23,38497.39,38257.8,38467.31
01/29/24,38115.83,38343.93,38061.17,38333.45
01/26/24,38006.68,38215.31,37997.77,38109.43
01/25/24,37862.57,38057.53,37796.47,38049.13
01/24/24,37975.37,38064.22,37795.71,37806.39
01/23/24,37959.79,37980.73,37804.99,37905.45
01/22/24,37919.55,38109.2,37911.61,38001.81
01/19/24,37572.5,37933.73,37451.71,37863.8
01/18/24,37300.81,37522.29,37122.95,37468.61
01/17/24,37281.86,37371.66,37132.89,37266.67
01/16/24,37493.54,37543.18,37201.39,37361.12
01/12/2024,37818.05,37825.27,37470.19,37592.98
01/11/2024,37747.14,37801.9,37424.28,37711.02
01/10/2024,37552.91,37740.77,37524.4,37695.73
01/09/2024,37523.55,37552.38,37373.3,37525.16
01/08/2024,37327.37,37692.92,37249.24,37683.01
01/05/2024,37455.46,37623.62,37323.82,37466.11
01/04/2024,37425.28,37716.41,37425.28,37440.34
01/03/2024,37629.23,37629.23,37401.85,37430.19
01/02/2024,37566.22,37790.08,37495.91,37715.04
12/29/23,37701.63,37759.43,37538.8,37689.54
12/28/23,37661.52,37778.85,37650.98,37710.1
12/27/23,37518.62,37683.7,37488.6,37656.52
12/26/23,37405.9,37617.99,37371.83,37545.33
12/22/23,37349.27,37534.52,37268.88,37385.97
12/21/23,37225.32,37418.76,37127.05,37404.35
12/20/23,37520.13,37641.3,37073.04,37082
12/19/23,37311.82,37562.83,37311.82,37557.92
12/18/23,37330.14,37393.45,37284.85,37306.02
12/15/23,37194.5,37347.6,37092.02,37305.16
12/14/23,37115.63,37287.5,37051.52,37248.35
12/13/23,36601.8,37094.85,36523.59,37090.24
12/12/2023,36442.1,36596.11,36373.22,36577.94
12/11/2023,36254.33,36416.18,36231.19,36404.93
12/08/2023,36084.82,36296.2,36061.64,36247.87
12/07/2023,36124.17,36164.17,36021.95,36117.38
12/06/2023,36183.73,36292.58,36024.25,36054.43
12/05/2023,36135.65,36164.68,36010.85,36124.56
12/04/2023,36089.38,36238.18,36029.69,36204.44
12/01/2023,35914.45,36264.85,35914.45,36245.5
11/30/23,35596.57,35970.7,35592.22,35950.89
11/29/23,35436.8,35579.13,35405.89,35430.42
11/28/23,35332.13,35518.67,35307.73,35416.98
11/27/23,35376.44,35410.37,35280.57,35333.47
11/24/23,35299.9,35399.44,35299.9,35390.15
11/22/23,35189.33,35315.2,35155.8,35273.03
11/21/23,35104.84,35118.04,35038.44,35088.29
11/20/23,34932.49,35227.48,34907.98,35151.04
11/17/23,34964.82,35028.22,34882.82,34947.28
